Aircraft_Reg,Distance_km,Distance_Rounded,MTOW_tons,Unit_Rate_mapped,Calculated_Charge,Vendor_Charge,Difference,Status
VTALN,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALK,4572.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTALX,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALM,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEM,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALR,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALS,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALU,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALN,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALP,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALR,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALJ,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALU,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALR,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALX,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALN,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALX,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALM,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTAER,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEM,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALR,4923.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALK,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEM,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALU,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALN,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALP,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALS,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALS,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEP,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTAEP,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,2127.0,2200.0,351.534,212.6,4677.2,4677.2,0.0,Matched
VTALX,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALK,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALN,4504.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTALU,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALP,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALK,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALS,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,4572.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTALN,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALR,4767.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
VTALK,4988.0,5000.0,351.534,212.6,10630.0,10630.0,0.0,Matched
VTALO,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALK,4572.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTALR,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEP,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALO,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALK,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALK,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALN,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALO,4628.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALM,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTALP,4658.0,4700.0,351.534,212.6,9992.2,9992.2,0.0,Matched
VTAEP,4572.0,4600.0,351.534,212.6,9779.6,9779.6,0.0,Matched
VTAEM,4709.0,4800.0,351.534,212.6,10204.8,10204.8,0.0,Matched
