Invoice No,"Line number
reference","Item
Description","Billing
Reference",Date,Time,"Aircraft
ID","Flight
Number","Origin
Code",Dest. Code,Entry Point,Exit Point,"Distance
Km","Aircraft
Type","Weight
Factor","Distance
Factor","Flight
Type","En-Route
Charge",Approach Charge,"Flight Total
Charge","Item Subtotal
Including VAT"
502012523021670,55,"Landings -
12899048",12899048,06-Jun-25,0.17412,VTRTT,AJC922,OERK,VABB,OERK,MIDGU,926,A20N,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,56,"Landings -
12900168",12900168,06-Jun-25,0.720139,VTCIN,AIC991,VIDP,OEJN,ULADA,OEJN,1241,A320,1.26,12.41,s,1845.12,252,2097.12,2097.12
502012523021670,57,"Landings -
12900570",12900570,06-Jun-25,0.774456,VTCIN,AIC992,OEJN,VIDP,OEJN,MIDGU,I 675.00,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,58,"Landings -
12900489",12900489,06-Jun-25,I 8:58:00,VTRTT,AIC935,VABB,OEDF,NARMJ,OEDF,36,A20N,1.26,0.36,s,53.52,252,305.52,305.52
502012523021670,59,"Landings -
12900669",12900669,06-Jun-25,0.854664,VTRTT,AIC936,OEDF,VABB,OEDF,LADNA,58,A20N,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,60,"Landings -
12901211",12901211,07-Jun-25,0.1,VTCIM,AIC921,VABB,OERK,PEKEM,OERK,760,A320,1.26,7.6,s,1129.97,252,1.381.97,1381.97
502012523021670,61,"Landings -
12901471",12901471,07-Jun-25,0.17691,VTCIM,AIC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,62,Landings - 12902137,12902137,07-Jun-25,13: 11 :00,VTEXL,AIC925,VIDP,OERK,NARMI,OERK,373,A320,1.26,3.73,s,554.58,252,806.58,806.58
502012523021670,63,"Landings -
12902388",12902388,07-Jun-25,0.610451,VTEXL,AJC926,OERK,VIDP,OERK,DAROR,400,A320,1.26,4,s,594.72,0,594.72,594.72
502012523021670,64,"Landings -
12902622",12902622,07-Jun-25,0.685417,VTCIP,AIC937,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,65,Landings - 12902856,12902856,07-Jun-25,0.779861,VTRTS,AIC935,VABB,OEDF,NARMI,OEDF,36,A20N,1.26,0.36,s,53.52,252,305.52,305.52
502012523021670,66,Landings - 12902997,12902997,07-Jun-25,I 8:44:36,VTCIP,AIC938,OEJN,VABB,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,67,Landings - 12903089,12903089,07-Jun-25,0.864132,VTRTS,AIC936,OEDF,VABB,OEDF,LADNA,58,A20N,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,68,"Landings -
12903658",12903658,08-Jun-25,0.056944,VTEXS,AIC921,VABB,OERK,PEKEM,OERK,760,A320,1.26,7.6,s,1129.97,252,1381.97,1381.97
502012523021670,69,Landings - 12904003,12904003,08-Jun-25,0.159861,VTEXS,AIC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,70,"Landings -
12904745",12904745,08-Jun-25,0.547222,VTCIG,AJC925,VIDP,OERK,ULADA,OERK,389,A320,1.26,3.89,s,578.37,252,830.37,830.37
