Invoice No,Flight Number,Aircraft ID,Origin Code,Dest. Code,Distance Km,MTOW_Tonnes,Calc_Weight_Factor,Calculated_Charge,Vendor_Charge,Status
502012523021670,AIC992,VTCIO,OEJN,VIDP,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AIC932,VTCIH,OEJN,VABB,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AIC935,VTCIN,VABB,OEDF,36.0,79.0,1.26,53.52,305.52,Not Matched
502012523021670,AIC936,VTCIN,OEDF,VABB,58.0,79.0,1.26,86.23,86.23,Matched
502012523021670,AIC921,VTEXH,VABB,OERK,760.0,79.0,1.26,1129.97,1381.97,Not Matched
502012523021670,AIC922,VTEXI,OERK,VABB,926.0,79.0,1.26,1376.78,1376.78,Matched
502012523021670,AJC925,VTEXO,VIDP,OERK,389.0,79.0,1.26,578.37,830.37,Not Matched
502012523021670,AIC926,VTEXO,OERK,VIDP,400.0,79.0,1.26,594.72,594.72,Matched
502012523021670,AJC937,VTEXL,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC931,VTCIN,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC991,VTCIG,VIDP,OEJN,1241.0,79.0,1.26,1845.12,2097.12,Not Matched
502012523021670,AIC935,VTEXT,VABB,OEDF,36.0,79.0,1.26,53.52,305.52,Not Matched
502012523021670,AIC938,VTEXL,OEJN,VABB,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AIC932,VTCIN,OEJN,VABB,1675.0,79.0,1.26,2490.39,,Not Matched
502012523021670,AIC992,VTCIG,OEJN,VIDP,1675.0,79.0,1.26,2490.39,,Not Matched
502012523021670,AIC936,VTEXT,OEDF,VABB,58.0,79.0,1.26,86.23,86.23,Matched
502012523021670,AJC921,VTEXN,VABB,OERK,389.0,79.0,1.26,578.37,830.37,Not Matched
502012523021670,AIC\32,VTANG,EGLL,VOBL,1335.0,227.93,2.14,3371.14,3371.14,Matched
502012523021670,AICl02,VTJRB,KJFK,OMSJ,1335.0,280.0,2.37,3733.46,3764.97,Not Matched
502012523021670,AIC922,VTEXN,OERK,VABB,926.0,79.0,1.26,1376.78,1376.78,Matched
502012523021670,AICll6,VTAEM,KJFK,OEJN,908.0,351.534,2.65,2839.32,3369.32,Not Matched
502012523021670,AICl88,VTALU,CYYZ,OEJN,175.0,351.534,2.65,547.23,1077.23,Not Matched
502012523021670,AICll6D,VTAEM,OEJN,VABB,1675.0,351.534,2.65,5237.72,5237.73,Matched
502012523021670,AJCl26,VTALJ,KORD,OEJN,175.0,351.534,2.65,547.23,1077.23,Not Matched
502012523021670,AIC188D,VTALU,OEJN,VIDP,1675.0,351.534,2.65,5237.72,5237.73,Matched
502012523021670,AJC126D,VTALJ,OEJN,VIDP,1675.0,351.534,2.65,5237.72,5237.73,Matched
502012523021670,AICl90,VTALR,CVYZ,OMSJ,1502.0,351.534,2.65,4696.75,4696.75,Matched
502012523021670,AIC104D,VTANP,LOWW,VIDP,1441.0,227.93,2.14,3638.81,,Not Matched
502012523021670,AICl33,VTANE,VOBL,EGLL,2165.0,227.93,2.14,5467.06,5467.06,Matched
