Invoice Number,No,Date,Ident,Airc Type,Reg,From-to,Routing,Dist.,tonn,Amount
4AIC-453,74,45750,AIC162,A359,VTJRF,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,280,1010.52
4AIC-453,75,45750,AIC2015,B789,VTTSP,LEMOD-NINOP-ABEKO-RODAR,VIDP-EGLL,1225,247,1029
4AIC-453,76,45750,AIC2017,B789,VTTSE,LEMOD-NINOP-ARBAT-BODKA,VIDP-EGLL,1203,250,1010.52
4AIC-453,77,45750,AIC2018,B789,VTTSP,LARGI-KESEK-NINOP-LEMOD,EGLL-VIDP,1221,247,1025.64
4AIC-453,78,45750,AIC2029,B789,VTTSN,RANAH-MARAD-ARBAT-BODKA,VIDP-EDDF,1143,247,960.12
4AIC-453,79,45750,AIC2030,B789,VTTSN,LARGI-KESEK-NINOP-LEMOD,EDDF-VIDP,1221,247,1025.64
4AIC-453,80,45750,AUV141,A320,UK32080,MANAT-NINOP-NAZAR,UTTT-OEMA,433,77,324.75
4AIC-453,81,45750,AUV142,A320,UK32080,NAZAR-NINOP-MANAT,OEMA-UTTT,433,77,324.75
4AIC-453,82,45751,AIC111,A359,VTJRE,RANAH-MARAD-SAPAR-RODAR,VIDP-EGLL,1172,280,984.48
4AIC-453,83,45751,AIC112,A359,VTJRE,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,280,1010.52
4AIC-453,84,45751,AIC113,B788,VTANB,RANAH-MARAD-ARBAT-BODKA,VIDP-EGBB,1143,220,960.12
4AIC-453,85,45751,AIC114,B788,VTANB,BODKA-ARBAT-NINOP-LEMOD,EGBB-VIDP,1203,220,1010.52
4AIC-453,86,45751,AIC137,B788,VTANR,RANAH-MARAD-SAPAR-RODAR,VIDP-LIMC,1172,220,984.48
4AIC-453,87,45751,AIC138,B788,VTANR,BODKA-ARBAT-NINOP-LEMOD,LIMC-VIDP,1203,220,1010.52
4AIC-453,88,45751,AIC142,B789,VTTSO,BODKA-ARBAT-NINOP-LEMOD,LFPG-VIDP,1203,247,1010.52
4AIC-453,89,45751,AIC143,B789,VTTSO,RANAH-MARAD-KESEK-LARGI,VIDP-LFPG,1161,247,975.24
4AIC-453,90,45751,AIC147,B788,VTANX,RANAH-MARAD-SAHET-DUKAN,VIDP-LFPG,1151,220,966.84
4AIC-453,91,45751,AIC148,B788,VTANX,BODKA-ARBAT-NINOP-LEMOD,LFPG-VIDP,1203,220,1010.52
4AIC-453,92,45751,AIC151,B788,VTANP,RANAH-MARAD-SAPAR-RODAR,VIDP-LSZH,1172,220,984.48
4AIC-453,93,45751,AIC155,B788,VTANI,LEMOD-NINOP-ARBAT-BODKA,VIDP-EHAM,1203,220,1010.52
4AIC-453,94,45751,AIC156,B788,VTANI,LARGI-KESEK-NINOP-LEMOD,EHAM-VIDP,1221,220,1025.64
4AIC-453,95,45751,AIC157,B788,VTANZ,RANAH-MARAD-ARBAT-BODKA,VIDP-EKCH,1143,220,960.12
4AIC-453,96,45751,AIC161,A359,VTJRB,LEMOD-NINOP-SAHET-DUKAN,VIDP-EGLL,1212,280,1018.08
4AIC-453,97,45751,AIC162,A359,VTJRB,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,280,1010.52
4AIC-453,98,45751,AIC169,B788,VTANO,LEMOD-NINOP-KESEK-LARGI,VIAR-EGKK,1221,220,1025.64
4AIC-453,99,45751,AIC2016,B789,VTTSP,LARGI-KESEK-NINOP-LEMOD,EGLL-VIDP,1221,247,1025.64
4AIC-453,100,45751,AIC2017,B789,VTTSP,RANAH-MARAD-ARBAT-BODKA,VIDP-EGLL,1143,247,960.12
4AIC-453,101,45751,AIC2018,B789,VTTSE,LARGI-KESEK-NINOP-LEMOD,EGLL-VIDP,1221,250,1025.64
4AIC-453,102,45751,AIC2025,B789,VTTSD,RANAH-MARAD-ARBAT-BODKA,VIDP-EDDF,1143,250,960.12
4AIC-453,103,45751,AIC2026,B789,VTTSD,BODKA-ARBAT-NINOP-LEMOD,EDDF-VIDP,1203,250,1010.52
4AIC-453,104,45751,AIC2029,B789,VTTSE,RANAH-MARAD-ARBAT-BODKA,VIDP-EDDF,1143,250,960.12
4AIC-453,105,45751,AUV141,A320,UK32080,MANAT-NINOP-NAZAR,UTTT-OEMA,433,77,324.75
4AIC-453,106,45751,AUV142,A320,UK32080,NAZAR-NINOP-MANAT,OEMA-UTTT,433,77,324.75
4AIC-453,107,45752,AIC112,A359,VTJRE,LARGI-ABEKO-NINOP-LEMOD,EGLL-VIDP,1221,280,1025.64
4AIC-453,108,45752,AIC1138,B773,VTALN,BODKA-ARBAT-NINOP-LEMOD,LTBA-VIDP,1203,345,1082.7
4AIC-453,109,45752,AIC117,B788,VTANB,RANAH-NINOP-ARBAT-BODKA,VIAR-EGBB,1188,220,997.92
4AIC-453,110,45752,AIC118,B788,VTANB,RODAR-SAPAR-NINOP-LEMOD,EGBB-VIAR,1232,220,1034.88
4AIC-453,111,45752,AIC137,B788,VTANZ,RANAH-MARAD-SAPAR-RODAR,VIDP-LIMC,1172,220,984.48
4AIC-453,112,45752,AIC138,B788,VTANZ,BODKA-ARBAT-NINOP-LEMOD,LIMC-VIDP,1203,220,1010.52
4AIC-453,113,45752,AIC148,B788,VTNAC,BODKA-ARBAT-NINOP-LEMOD,LFPG-VIDP,1203,220,1010.52
4AIC-453,114,45752,AIC152,B788,VTANP,BODKA-ARBAT-NINOP-LEMOD,LSZH-VIDP,1203,220,1010.52
4AIC-453,115,45752,AIC153,B788,VTANM,RANAH-MARAD-SAPAR-RODAR,VIDP-LOWW,1172,220,984.48
4AIC-453,116,45752,AIC154,B788,VTANM,BODKA-ARBAT-NINOP-LEMOD,LOWW-VIDP,1203,220,1010.52
4AIC-453,117,45752,AIC155,B788,VTANP,RANAH-MARAD-ARBAT-BODKA,VIDP-EHAM,1143,220,960.12
4AIC-453,118,45752,AIC156,B788,VTANP,LARGI-KESEK-NINOP-LEMOD,EHAM-VIDP,1221,220,1025.64
4AIC-453,119,45752,AIC157,B788,VTANL,RANAH-MARAD-SAHET-DUKAN,VIDP-EKCH,1151,220,966.84
4AIC-453,120,45752,AIC158,B788,VTANZ,BODKA-ARBAT-NINOP-LEMOD,EKCH-VIDP,1203,220,1010.52
4AIC-453,121,45752,AIC158,B788,VTANL,BODKA-ARBAT-MARAD-RANAH,EKCH-VIDP,1143,220,960.12
4AIC-453,122,45752,AIC161,A359,VTJRF,LEMOD-NINOP-SAHET-DUKAN,VIDP-EGLL,1212,280,1018.08
4AIC-453,123,45752,AIC162,A359,VTJRB,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,280,1010.52
4AIC-453,124,45752,AIC169,B788,VTANO,LEMOD-NINOP-ARBAT-BODKA,VIAR-EGKK,1203,220,1010.52
4AIC-453,125,45752,AIC170,B788,VTANO,LARGI-ABEKO-NINOP-LEMOD,EGKK-VIAR,1221,220,1025.64
4AIC-453,126,45752,AIC2015,B789,VTTSP,RANAH-MARAD-ARBAT-BODKA,VIDP-EGLL,1143,247,960.12
4AIC-453,127,45752,AIC2017,B789,VTTSO,RANAH-MARAD-ARBAT-BODKA,VIDP-EGLL,1143,247,960.12
4AIC-453,128,45752,AIC2018,B789,VTTSP,RODAR-ABEKO-NINOP-LEMOD,EGLL-VIDP,1225,247,1029
4AIC-453,129,45752,AIC2025,B789,VTTSD,RANAH-MARAD-ARBAT-BODKA,VIDP-EDDF,1143,250,960.12
4AIC-453,130,45752,AIC2026,B789,VTTSD,BODKA-ARBAT-NINOP-LEMOD,EDDF-VIDP,1203,250,1010.52
4AIC-453,131,45752,AIC2029,B789,VTTSH,RANAH-MARAD-ARBAT-BODKA,VIDP-EDDF,1143,247,960.12
4AIC-453,132,45752,AIC2030,B789,VTTSE,BODKA-ARBAT-NINOP-LEMOD,EDDF-VIDP,1203,250,1010.52
4AIC-453,133,45752,AIC2030,B789,VTTSH,LARGI-KESEK-NINOP-LEMOD,EDDF-VIDP,1221,247,1025.64
4AIC-453,134,45752,AUV141,A320,UK32080,MANAT-NINOP-NAZAR,UTTT-OEMA,433,77,324.75
4AIC-453,135,45752,AUV142,A320,UK32080,NAZAR-NINOP-MANAT,OEMA-UTTT,433,77,324.75
4AIC-453,136,45753,AIC111,A359,VTJRB,RANAH-MARAD-SAHET-DUKAN,VIDP-EGLL,1151,280,966.84
4AIC-453,137,45753,AIC112,A359,VTJRB,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,280,1010.52
4AIC-453,138,45753,AIC113,B788,VTANX,RANAH-MARAD-ARBAT-BODKA,VIDP-EGBB,1143,220,960.12
4AIC-453,139,45753,AIC114,B788,VTANB,BODKA-ARBAT-NINOP-LEMOD,EGBB-VIDP,1203,220,1010.52
4AIC-453,140,45753,AIC137,B788,VTANM,LEMOD-NINOP-ABEKO-RODAR,VIDP-LIMC,1225,220,1029
4AIC-453,141,45753,AIC138,B788,VTANM,BODKA-ARBAT-NINOP-LEMOD,LIMC-VIDP,1203,220,1010.52
4AIC-453,142,45753,AIC142,B788,VTANX,LARGI-KESEK-NINOP-LEMOD,LFPG-VIDP,1221,220,1025.64
4AIC-453,143,45753,AIC142,B789,VTTSD,LARGI-KESEK-NINOP-LEMOD,LFPG-VIDP,1221,250,1025.64
4AIC-453,144,45753,AIC143,B788,VTANS,RANAH-MARAD-ARBAT-BODKA,VIDP-LFPG,1143,220,960.12
4AIC-453,145,45753,AIC147,B789,VTTSD,RANAH-MARAD-SAPAR-RODAR,VIDP-LFPG,1172,250,984.48
4AIC-453,146,45753,AIC151,B788,VTANV,RANAH-MARAD-ARBAT-BODKA,VIDP-LSZH,1143,220,960.12
4AIC-453,147,45753,AIC152,B788,VTANV,LARGI-KESEK-MARAD-RANAH,LSZH-VIDP,1161,220,975.24
4AIC-453,148,45753,AIC155,B788,VTANZ,LEMOD-NINOP-ABEKO-RODAR,VIDP-EHAM,1225,220,1029
4AIC-453,149,45753,AIC156,B788,VTANZ,RODAR-ABEKO-NINOP-LEMOD,EHAM-VIDP,1225,220,1029
4AIC-453,150,45753,AIC157,B788,VTANY,RANAH-MARAD-SAPAR-RODAR,VIDP-EKCH,1172,220,984.48
4AIC-453,151,45753,AIC161,A359,VTJRA,LEMOD-NINOP-SAHET-DUKAN,VIDP-EGLL,1212,280,1018.08
4AIC-453,152,45753,AIC162,A359,VTJRF,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,280,1010.52
4AIC-453,153,45753,AIC169,B788,VTANB,LEMOD-NINOP-ARBAT-BODKA,VIAR-EGKK,1203,220,1010.52
4AIC-453,154,45753,AIC170,B788,VTANO,BODKA-ARBAT-NINOP-LEMOD,EGKK-VIAR,1203,220,1010.52
4AIC-453,155,45753,AIC2016,B789,VTTSP,LARGI-KESEK-NINOP-LEMOD,EGLL-VIDP,1221,247,1025.64
4AIC-453,156,45753,AIC2017,B789,VTTSN,RANAH-MARAD-KESEK-LARGI,VIDP-EGLL,1161,247,975.24
4AIC-453,157,45753,AIC2018,B789,VTTSO,LARGI-KESEK-NINOP-LEMOD,EGLL-VIDP,1221,247,1025.64
4AIC-453,158,45753,AIC2025,B789,VTTSE,RANAH-MARAD-SAPAR-RODAR,VIDP-EDDF,1172,250,984.48
4AIC-453,159,45753,AIC2026,B789,VTTSE,BODKA-ARBAT-NINOP-LEMOD,EDDF-VIDP,1203,250,1010.52
4AIC-453,160,45753,AIC2027,B789,VTTSQ,RANAH-MARAD-ARBAT-BODKA,VABB-EDDF,1143,250,960.12
4AIC-453,161,45753,AIC2029,B789,VTTSP,RANAH-MARAD-ARBAT-BODKA,VIDP-EDDF,1143,247,960.12
4AIC-453,162,45753,AIC2030,B789,VTTSP,BODKA-ARBAT-NINOP-LEMOD,EDDF-VIDP,1203,247,1010.52
4AIC-453,163,45753,AUV141,A320,UK32080,MANAT-NINOP-NAZAR,UTTT-OEMA,433,77,324.75
4AIC-453,164,45753,AUV142,A320,UK32080,NAZAR-NINOP-MANAT,OEMA-UTTT,433,77,324.75
4AIC-453,165,45754,AIC111,A359,VTJRE,RANAH-MARAD-SAHET-DUKAN,VIDP-EGLL,1151,280,966.84
4AIC-453,166,45754,AIC112,A359,VTJRE,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,280,1010.52
4AIC-453,167,45754,AIC117,B788,VTANX,LEMOD-NINOP-ARBAT-BODKA,VIAR-EGBB,1203,220,1010.52
4AIC-453,168,45754,AIC118,B788,VTANX,BODKA-ARBAT-NINOP-LEMOD,EGBB-VIAR,1203,220,1010.52
4AIC-453,169,45754,AIC137,B788,VTANO,LEMOD-NINOP-ARBAT-BODKA,VIDP-LIMC,1203,220,1010.52
4AIC-453,170,45754,AIC138,B788,VTANO,LARGI-KESEK-NINOP-LEMOD,LIMC-VIDP,1221,220,1025.64
4AIC-453,171,45754,AIC143,B788,VTANY,RANAH-MARAD-KESEK-LARGI,VIDP-LFPG,1161,220,975.24
4AIC-453,172,45754,AIC147,B789,VTTSE,RANAH-MARAD-KESEK-LARGI,VIDP-LFPG,1161,250,975.24
4AIC-453,173,45754,AIC148,B788,VTANS,BODKA-ARBAT-NINOP-LEMOD,LFPG-VIDP,1203,220,1010.52
4AIC-453,174,45754,AIC148,B789,VTTSE,BODKA-ARBAT-NINOP-LEMOD,LFPG-VIDP,1203,250,1010.52
4AIC-453,175,45754,AIC151,B788,VTANE,RANAH-MARAD-KESEK-LARGI,VIDP-LSZH,1161,220,975.24
