Flight_DateTime,Flight_No,Aircraft_Reg,Aircraft_Type,MTOW_Tonnes,MTOW_kg,Distance_km,Distance_Factor,Unit_Rate,Weight_Factor,Calculated_Charge,Vendor_Charge,Status
"2025-09-02
00:00","AIC9
45",VTTNY,A20N,77.0,77000.0,792.0,7.92,31.34,1.22,302.82,302.82,Matched
"2025-09-02
00:00","AIC9
83",VTANI,B788,228.0,228000.0,731.0,7.31,31.34,1.71,391.75,391.75,Matched
"2025-09-02
00:00",AIC9 29,VTANK,B788,228.0,228000.0,781.0,7.81,31.34,1.71,418.55,418.55,Matched
"2025-09-02
00:00","AIC9
33",VTRTT,A20N,79.0,79000.0,659.0,6.59,31.34,1.22,251.97,251.97,Matched
"2025-09-02
00:00",AIC1 19,VTAEH,B77L,348.0,348000.0,726.0,7.26,31.34,1.95,443.68,443.68,Matched
"2025-09-02
00:00",AIC9 15,VTANK,B788,228.0,228000.0,781.0,7.81,31.34,1.71,418.55,418.55,Matched
"2025-09-02
00:22","AIC9
32",VTEXJ,A20N,77.0,77000.0,797.0,7.97,31.34,1.22,304.73,304.73,Matched
"2025-09-02
02:23",AIC9 21,VTTQI,A20N,77.0,77000.0,726.0,7.26,31.34,1.22,277.58,277.58,Matched
"2025-09-02
02:24",AIC9 36,VTTQA,A20N,77.0,77000.0,785.0,7.85,31.34,1.22,300.14,300.14,Matched
"2025-09-02
02:30",AIC1 19,VTAER,B77W,352.0,352000.0,726.0,7.26,31.34,1.95,443.68,443.68,Matched
"2025-09-02
03:54","AIC2
030",VTTSH,B789,255.0,255000.0,453.0,4.53,31.34,1.71,242.77,242.77,Matched
"2025-09-02
04:01","AIC1
56",VTALP,B77W,352.0,352000.0,453.0,4.53,31.34,1.95,276.84,276.84,Matched
"2025-09-02
04:18",AIC2 288,VTTNW,A20N,77.0,77000.0,732.0,7.32,31.34,1.22,279.88,279.88,Matched
"2025-09-02
04:18","AIC1
87",VTALN,B77W,352.0,352000.0,774.0,7.74,31.34,1.95,473.01,473.01,Matched
"2025-09-02
04:43",AIC1 42,VTANC,B788,228.0,228000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
,,,,,,,,,,,,Not Matched
,,,,,,,,,,,,Not Matched
Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,,,,,,,,,Not Matched
"2025-09-02
05:20",AIC1 54,VTANR,B788,228.0,228000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
"2025-09-02
05:32",AIC2 018,VTTSP,B789,255.0,255000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
"2025-09-02
06:35","AIC1
61",VTJRB,A359,280.0,280000.0,774.0,7.74,31.34,1.8,436.63,436.63,Matched
"2025-09-02
06:38","AIC1
06",VTJRI,A359,280.0,280000.0,779.0,7.79,31.34,1.8,439.45,439.45,Matched
"2025-09-02
07:40","AIC1
16",VTALX,B77W,352.0,352000.0,732.0,7.32,31.34,1.95,447.35,447.35,Matched
"2025-09-02
08:15",AIC9 22,VTEXP,A20N,77.0,77000.0,732.0,7.32,31.34,1.22,279.88,279.88,Matched
"2025-09-02
08:24",AIC2 025,VTTSD,B789,255.0,255000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-02
08:35","AIC1
29",VTAEN,B77W,352.0,352000.0,726.0,7.26,31.34,1.95,443.68,443.68,Matched
"2025-09-02
09:45","AIC2
025",VTTSE,B789,255.0,255000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-02
09:53",AIC9 30,VTANK,B788,228.0,228000.0,799.0,7.99,31.34,1.71,428.2,428.2,Matched
